text,label
"cancel and confirm by email",cancel_order
"i want confirmation of cancellation",cancel_order
"cancel order and refund me",cancel_order
"my payment failed",payment_issue
"payment not going through",payment_issue
"i can't pay",payment_issue
"checkout is not working",payment_issue
"my card was declined",payment_issue
"it says payment declined",payment_issue
"i got an error when paying",payment_issue
"payment error at checkout",payment_issue
"my credit card won't work",payment_issue
"can i use a different payment method",payment_issue
"do you accept paypal",payment_issue
"do you accept apple pay",payment_issue
"do you take gift cards",payment_issue
"i was charged twice",payment_issue
"double charged on my card",payment_issue
"i see a duplicate charge",payment_issue
"i was billed but the order didn't go through",payment_issue
"charged but no order confirmation",payment_issue
"my payment went through but order failed",payment_issue
"i didn't receive a receipt but i was charged",payment_issue
"why is there a pending charge",payment_issue
"pending charge question",payment_issue
"can you remove this charge",payment_issue
"refund the extra charge",payment_issue
"payment method was rejected",payment_issue
"bank blocked the transaction",payment_issue
"3d secure failed",payment_issue
"i forgot my billing zip code",payment_issue
"billing address doesn't match",payment_issue
"cvv error",payment_issue
"promo code not working",payment_issue
"discount code won't apply",payment_issue
"gift card not working",payment_issue
"why can't i apply my coupon",payment_issue
"i can't complete checkout",payment_issue
"checkout page keeps loading",payment_issue
"payment keeps failing",payment_issue
"why is my card being declined",payment_issue
"my order won't submit after payment",payment_issue
"need help paying for my order",payment_issue
"is it safe to enter my card details",payment_issue
"does this come in a larger size",product_question
"does this come in a smaller size",product_question
"what sizes are available",product_question
"is this item in stock",product_question
"when will this be back in stock",product_question
"does this work with iphone",product_question
"is this compatible with android",product_question
"what are the dimensions",product_question
"what is the material",product_question
"what color options do you have",product_question
"can you tell me about this product",product_question
"i have a question about the product",product_question
"does it include a warranty",product_question
"how long is the warranty",product_question
"is there a user manual",product_question
"how do i use this item",product_question
"is this authentic",product_question
"is this original",product_question
"can you confirm if it's genuine",product_question
"does this require batteries",product_question
"are batteries included",product_question
"what is the voltage",product_question
"is this waterproof",product_question
"can it be washed",product_question
"is it machine washable",product_question
"how much does it weigh",product_question
"what is the weight",product_question
"does it come with accessories",product_question
"what's in the box",product_question
"does it support bluetooth",product_question
"does it have wifi",product_question
"can i use it outdoors",product_question
"is it good for kids",product_question
"is it safe for children",product_question
"what is the return window for this product",product_question
"can you share more specifications",product_question
"tell me the specs",product_question
"what is the model number",product_question
"is there a sizing chart",product_question
"can you help",other
"i need help",other
"help me",other
"i have a question",other
"i have an issue",other
"something is wrong",other
"this isn't working",other
"can you assist",other
"please clarify",other
"what do you mean",other
"i don't understand",other
"not sure what to do",other
"can you explain",other
"i need to speak to a person",other
"human agent please",other
"representative please",other
"connect me to support",other
"i have a complaint",other
"this is frustrating",other
"i am unhappy",other
"your website is broken",other
"the app is not working",other
"i can't log in",other
"my account is locked",other
"change my email address",other
"update my account details",other
"how do i reset my password",other
"password reset help",other
"how do i create an account",other
"delete my account",other
"unsubscribe me",other
"stop sending emails",other
"i want to leave feedback",other
"i have feedback",other
"thank you",goodbye
"thanks",goodbye
"ok",other
"cool",other
"what are your hours",other
"how can i contact you",other
"where are you located",other
"do you have a phone number",other
"can you call me",other
